          ;        7048;   ;pago      ;                                        ;16122015      ;125725;::1            ;ERR;                    ;1                                                                       
          ;        6360;   ;resultado ;                                        ;16122015      ;130114;::1            ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
          ;        6360;   ;resultado ;datoscom                                ;16122015      ;130114;::1            ;Ok ;                    ;Error de Lectura en el Input (1)                                        
          ;        6360;   ;resultado ;                                        ;16122015      ;130114;::1            ;ERR;                    ;1                                                                       
          ;        1668;   ;pago      ;                                        ;16122015      ;131038;::1            ;ERR;                    ;1                                                                       
          ;        2844;   ;pago      ;                                        ;16122015      ;133031;::1            ;ERR;                    ;1                                                                       
          ;         912;   ;pago      ;                                        ;16122015      ;144558;::1            ;ERR;                    ;1                                                                       
          ;        5628;   ;pago      ;                                        ;16122015      ;155208;::1            ;ERR;                    ;1                                                                       
          ;        6320;   ;pago      ;                                        ;16122015      ;155626;::1            ;ERR;                    ;1                                                                       
          ;        6344;   ;pago      ;                                        ;16122015      ;155629;::1            ;ERR;                    ;1                                                                       
          ;        2796;   ;pago      ;                                        ;16122015      ;160318;::1            ;ERR;                    ;1                                                                       
          ;         748;   ;pago      ;                                        ;16122015      ;172740;::1            ;ERR;                    ;1                                                                       
          ;        3836;   ;pago      ;                                        ;16122015      ;173109;::1            ;ERR;                    ;1                                                                       
          ;        5880;   ;pago      ;                                        ;16122015      ;173118;::1            ;ERR;                    ;1                                                                       
          ;        5968;   ;pago      ;                                        ;16122015      ;173216;::1            ;ERR;                    ;1                                                                       
